iter	Passed	Remaining
0	39	3929
1	72	3544
2	108	3504
3	144	3471
4	158	3019
5	196	3070
6	234	3113
7	271	3126
8	311	3145
9	358	3230
10	402	3254
11	442	3248
12	483	3233
13	526	3236
14	566	3208
15	602	3165
16	644	3147
17	686	3126
18	721	3077
19	759	3039
20	800	3011
21	843	2992
22	871	2916
23	911	2887
24	955	2867
25	996	2836
26	1035	2799
27	1075	2764
28	1114	2729
29	1155	2695
30	1194	2659
31	1238	2631
32	1276	2591
33	1314	2551
34	1353	2514
35	1413	2513
36	1454	2476
37	1491	2432
38	1524	2384
39	1557	2336
40	1591	2290
41	1624	2243
42	1657	2197
43	1690	2151
44	1722	2104
45	1756	2062
46	1789	2018
47	1821	1973
48	1854	1930
49	1888	1888
50	1920	1845
51	1954	1803
52	1986	1761
53	2018	1719
54	2057	1683
55	2095	1646
56	2132	1608
57	2166	1568
58	2199	1528
59	2232	1488
60	2265	1448
61	2299	1409
62	2331	1369
63	2364	1329
64	2398	1291
65	2430	1252
66	2464	1214
67	2500	1176
68	2538	1140
69	2570	1101
70	2605	1064
71	2638	1025
72	2678	990
73	2716	954
74	2752	917
75	2791	881
76	2829	845
77	2865	808
78	2903	771
79	2937	734
80	2975	697
81	3013	661
82	3057	626
83	3095	589
84	3130	552
85	3164	515
86	3197	477
87	3230	440
88	3263	403
89	3294	366
90	3329	329
91	3361	292
92	3392	255
93	3424	218
94	3456	181
95	3491	145
96	3523	108
97	3558	72
98	3591	36
99	3625	0
